条目ID,登记名称,目录名称,目录状态,卷,部,目录分类,条目类型,研究深度,登记状态,证据截止日,Jev实际模型,Jev推理版本,Jev示例版本,运行时间UTC,摘要SHA256,Mapping文件,Jev原始结果文件,四气选择,四气选择置信度,四气_寒_概率,四气_凉_概率,四气_平_概率,四气_温_概率,四气_热_概率,五味_酸_Noul得分,五味_苦_Noul得分,五味_甘_Noul得分,五味_辛_Noul得分,五味_咸_Noul得分,归经_心经_Noul得分,归经_肝经_Noul得分,归经_脾经_Noul得分,归经_肺经_Noul得分,归经_肾经_Noul得分,心经_主方向选择,心经_方向选择置信度,心经_阴-_概率,心经_阴+_概率,心经_阳-_概率,心经_阳+_概率,肝经_主方向选择,肝经_方向选择置信度,肝经_阴-_概率,肝经_阴+_概率,肝经_阳-_概率,肝经_阳+_概率,脾经_主方向选择,脾经_方向选择置信度,脾经_阴-_概率,脾经_阴+_概率,脾经_阳-_概率,脾经_阳+_概率,肺经_主方向选择,肺经_方向选择置信度,肺经_阴-_概率,肺经_阴+_概率,肺经_阳-_概率,肺经_阳+_概率,肾经_主方向选择,肾经_方向选择置信度,肾经_阴-_概率,肾经_阴+_概率,肾经_阳-_概率,肾经_阳+_概率
pearl-milk-tea,珍珠奶茶,珍珠奶茶,正式目录,卷一,饮品部,茶饮新制,composite_food,R2,summary_frozen,2026-09-23,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T07:09:08.586419+00:00,3169e43e2a75107e6bab3b7d0d0854836cc1b62579dbf7749bc246254c61a740,references/entries/pearl-milk-tea/mapping.md,qa/jev-ten-batch/raw/pearl-milk-tea.json,平,0.93,0,0.05,0.95,0,0,0.05,0.07,0.58,0.06,0.04,0.06,0.05,0.13,0.06,0.05,阳-,0.23,0.21,0.15,0.42,0.22,阳-,0.27,0.37,0.06,0.46,0.11,阴-,0.22,0.42,0.18,0.04,0.36,阳-,0.15,0.31,0.24,0.36,0.09,阴-,0.31,0.49,0.28,0.13,0.1
fresh-milk-tea,鲜奶茶,鲜奶茶,正式目录,卷一,饮品部,茶饮新制,beverage,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T08:12:57.083424+00:00,9cdbd5a5737747435b72751fc41fa24370964e1b032f399bfe30694b6a05bc52,references/entries/fresh-milk-tea/mapping.md,qa/jev-tea-batch/raw/fresh-milk-tea.json,平,0.59,0.26,0.06,0.67,0.01,0,0.07,0.47,0.35,0.08,0.05,0.09,0.07,0.11,0.13,0.06,阳-,0.68,0.06,0.08,0.76,0.1,阳-,0.72,0.17,0.02,0.79,0.02,阴-,0.09,0.32,0.29,0.18,0.21,阳-,0.71,0.13,0.06,0.79,0.02,阳-,0.23,0.32,0.2,0.42,0.06
milk-foam-tea,奶盖茶,奶盖茶,正式目录,卷一,饮品部,茶饮新制,beverage,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T08:12:57.533938+00:00,4b03db58ca12f67b43692468354d83c70a73cfe7d4581b1029323788b0c28353,references/entries/milk-foam-tea/mapping.md,qa/jev-tea-batch/raw/milk-foam-tea.json,平,0.84,0.11,0.02,0.87,0,0,0.07,0.31,0.37,0.08,0.07,0.06,0.06,0.09,0.13,0.06,阳-,0.69,0.12,0.05,0.76,0.07,阳-,0.67,0.21,0.01,0.76,0.02,阴-,0.25,0.43,0.15,0.21,0.21,阳-,0.79,0.13,0.02,0.84,0.01,阳-,0.22,0.4,0.11,0.42,0.07
fruit-tea,水果茶,水果茶,正式目录,卷一,饮品部,茶饮新制,beverage,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T08:12:57.997165+00:00,3ac047d5d3604ccf95bd22b98738d866540cdd9e889badf5629f64b635f9e813,references/entries/fruit-tea/mapping.md,qa/jev-tea-batch/raw/fruit-tea.json,平,0.66,0.22,0.05,0.73,0,0,0.19,0.38,0.4,0.08,0.04,0.06,0.07,0.09,0.13,0.05,阳-,0.76,0.1,0.03,0.82,0.05,阳-,0.61,0.23,0.05,0.71,0.01,阴-,0.38,0.53,0.1,0.24,0.13,阳-,0.72,0.13,0.07,0.79,0.01,阳-,0.25,0.4,0.11,0.44,0.05
cheese-tea,芝士茶,芝士茶,正式目录,卷一,饮品部,茶饮新制,beverage,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T08:12:58.420844+00:00,c735631df206eac06927a67439c5b49c9d1182af8cb8a24a0995058bf2c9e47e,references/entries/cheese-tea/mapping.md,qa/jev-tea-batch/raw/cheese-tea.json,平,0.4,0.38,0.1,0.52,0,0,0.07,0.51,0.37,0.08,0.15,0.07,0.08,0.1,0.17,0.06,阳-,0.77,0.09,0.03,0.83,0.05,阳-,0.72,0.18,0.01,0.79,0.02,阴-,0.39,0.54,0.1,0.23,0.13,阳-,0.82,0.11,0.02,0.86,0.01,阳-,0.24,0.41,0.11,0.43,0.05
coconut-milk-tea,椰乳茶,椰乳茶,正式目录,卷一,饮品部,茶饮新制,beverage,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T08:12:58.865083+00:00,486058ee8e0799ed78d25f576b4b768a3573706d25aef835677b9add062e7296,references/entries/coconut-milk-tea/mapping.md,qa/jev-tea-batch/raw/coconut-milk-tea.json,平,0.93,0.05,0.01,0.94,0,0,0.06,0.28,0.26,0.07,0.06,0.06,0.06,0.08,0.12,0.06,阳-,0.63,0.18,0.04,0.72,0.06,阳-,0.48,0.3,0.05,0.61,0.04,阴-,0.24,0.43,0.11,0.23,0.23,阳-,0.72,0.15,0.04,0.79,0.02,阴-,0.25,0.44,0.17,0.31,0.08
oat-milk-tea,燕麦奶茶,燕麦奶茶,正式目录,卷一,饮品部,茶饮新制,beverage,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T08:12:59.293325+00:00,9e0adf8c1c0cced1405ce62ae92c619cd520993613bcda2d5c0a55cc6de82847,references/entries/oat-milk-tea/mapping.md,qa/jev-tea-batch/raw/oat-milk-tea.json,平,0.55,0.29,0.07,0.64,0,0,0.06,0.46,0.25,0.08,0.04,0.08,0.07,0.1,0.12,0.06,阳-,0.85,0.07,0.01,0.89,0.03,阳-,0.78,0.14,0.01,0.84,0.01,阴-,0.13,0.35,0.07,0.26,0.32,阳-,0.83,0.09,0.03,0.87,0.01,阳-,0.42,0.33,0.06,0.5599999999999999,0.05
brown-sugar-milk-tea,黑糖奶茶,黑糖奶茶,正式目录,卷一,饮品部,茶饮新制,beverage,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T08:12:59.755021+00:00,84901692201872fcb5f6062cac0ebe3ffbb9fbd29acd50fdf4e367564c473870,references/entries/brown-sugar-milk-tea/mapping.md,qa/jev-tea-batch/raw/brown-sugar-milk-tea.json,平,0.75,0.14,0.03,0.8,0.02,0.01,0.06,0.37,0.46,0.09,0.04,0.08,0.06,0.1,0.15,0.06,阳-,0.65,0.08,0.06,0.73,0.13,阳-,0.6,0.22,0.02,0.7,0.06,阳+,0.22,0.25,0.17,0.16,0.42,阳-,0.81,0.09,0.03,0.86,0.02,阴-,0.14,0.36,0.15,0.29,0.2
matcha-latte,抹茶拿铁,抹茶拿铁,正式目录,卷一,饮品部,茶饮新制,beverage,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T08:13:00.181989+00:00,2564079866d64614ae91413c8a36eb71534a77b1bbd346e3388a878ec21d19ea,references/entries/matcha-latte/mapping.md,qa/jev-tea-batch/raw/matcha-latte.json,平,0.39,0.37,0.11,0.52,0,0,0.06,0.58,0.36,0.06,0.04,0.1,0.09,0.1,0.12,0.06,阳-,0.82,0.03,0.03,0.87,0.07,阳-,0.84,0.1,0.01,0.88,0.01,阴-,0.15,0.36,0.12,0.33,0.19,阳-,0.79,0.1,0.04,0.85,0.01,阳-,0.44,0.31,0.08,0.58,0.03
hojicha-latte,焙茶拿铁,焙茶拿铁,正式目录,卷一,饮品部,茶饮新制,beverage,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T08:13:00.622640+00:00,8c640a0a1464544b7a0ed81f996b8d8f87ecf03413219cf7d3216590f51a9656,references/entries/hojicha-latte/mapping.md,qa/jev-tea-batch/raw/hojicha-latte.json,平,0.5,0.3,0.04,0.6,0.06,0,0.07,0.55,0.29,0.08,0.05,0.07,0.08,0.08,0.1,0.06,阳-,0.8,0.06,0.02,0.85,0.07,阳-,0.72,0.15,0.01,0.79,0.05,阴-,0.13,0.33999999999999997,0.06,0.28,0.32,阳-,0.68,0.14,0.04,0.76,0.06,阳-,0.44,0.26,0.05,0.57,0.12
